"","Station","Depth","Depth2","Date","Year","Month","Day","Season","Type","Run","Location","Location2","Location3"
"QMIC2834","QU43","5","5","2018-10-11","2018","10","11","Autumn","WSW","4","Quadra","QU43","Achiever-QU43"
"QMIC2576","QU43","150","100-200","2018-05-14","2018","5","14","Spring","WSW","5","Quadra","QU43","Achiever-QU43"
"QMIC2629","QU43","0","0","2018-06-12","2018","6","12","Summer","WSW","5","Quadra","QU43","Achiever-QU43"
"QMIC2630","QU43","5","5","2018-06-12","2018","6","12","Summer","WSW","5","Quadra","QU43","Achiever-QU43"
"QMIC2631","QU43","30","25-30","2018-06-12","2018","6","12","Summer","WSW","5","Quadra","QU43","Achiever-QU43"
"QMIC2632","QU43","150","100-200","2018-06-12","2018","6","12","Summer","WSW","5","Quadra","QU43","Achiever-QU43"
"QMIC2633","QU43","500","400-500","2018-06-12","2018","6","12","Summer","WSW","5","Quadra","QU43","Achiever-QU43"
"QMIC2679","QU43","485","400-500","2018-07-24","2018","7","24","Summer","WSW","5","Quadra","QU43","Achiever-QU43"
"QMIC2685","QU43","0","0","2018-07-24","2018","7","24","Summer","WSW","5","Quadra","QU43","Achiever-QU43"
"QMIC2686","QU43","5","5","2018-07-24","2018","7","24","Summer","WSW","5","Quadra","QU43","Achiever-QU43"
"QMIC2687","QU43","30","25-30","2018-07-24","2018","7","24","Summer","WSW","5","Quadra","QU43","Achiever-QU43"
"QMIC2688","QU43","150","100-200","2018-07-24","2018","7","24","Summer","WSW","5","Quadra","QU43","Achiever-QU43"
"QMIC2714","QU43","0","0","2018-08-10","2018","8","10","Summer","WSW","5","Quadra","QU43","Achiever-QU43"
"QMIC2715","QU43","5","5","2018-08-10","2018","8","10","Summer","WSW","5","Quadra","QU43","Achiever-QU43"
"QMIC2716","QU43","30","25-30","2018-08-10","2018","8","10","Summer","WSW","5","Quadra","QU43","Achiever-QU43"
"QMIC2717","QU43","150","100-200","2018-08-10","2018","8","10","Summer","WSW","5","Quadra","QU43","Achiever-QU43"
"QMIC2718","QU43","500","400-500","2018-08-10","2018","8","10","Summer","WSW","5","Quadra","QU43","Achiever-QU43"
"QMIC2773","QU43","0","0","2018-09-06","2018","9","6","Autumn","WSW","5","Quadra","QU43","Achiever-QU43"
"QMIC2774","QU43","5","5","2018-09-06","2018","9","6","Autumn","WSW","5","Quadra","QU43","Achiever-QU43"
"QMIC2776","QU43","150","100-200","2018-09-06","2018","9","6","Autumn","WSW","5","Quadra","QU43","Achiever-QU43"
"QMIC2837","QU43","500","400-500","2018-10-11","2018","10","11","Autumn","WSW","5","Quadra","QU43","Achiever-QU43"
"QMIC3248","KN3","10","10","2019-06-26","2019","6","26","Summer","WSW","5","Achiever","Knight","Achiever-QU43"
"QMIC3311","BU4","0","0","2019-06-25","2019","6","25","Summer","WSW","5","Achiever","Bute","Achiever-QU43"
"QMIC3312","BU4","5","5","2019-06-25","2019","6","25","Summer","WSW","5","Achiever","Bute","Achiever-QU43"
"QMIC3313","BU4","10","10","2019-06-25","2019","6","25","Summer","WSW","5","Achiever","Bute","Achiever-QU43"
"QMIC3314","BU4","25","25-30","2019-06-25","2019","6","25","Summer","WSW","5","Achiever","Bute","Achiever-QU43"
"QMIC3315","BU4","100","100-200","2019-06-25","2019","6","25","Summer","WSW","5","Achiever","Bute","Achiever-QU43"
"QMIC3316","BU4","630","400-500","2019-06-25","2019","6","25","Summer","WSW","5","Achiever","Bute","Achiever-QU43"
